Hybrid_method,No,attchability,controlability,detachability,,type,GROUP
RCHDA,1,-12.841632,54.5762685,27.19898739,,0,A
RPHEDA,2,-20.96388325,47.9757615,4.536993046,,3,B
PHEA,3,-42.1269841,34.0501095,99.3876973,,2,C
iOct,4,-36.86250505,26.276004,88.07529889,,2,C
Reth,5,-43.00819535,47.369271,49.96057719,,1,D
2ME-m-PHEDA,6,-22.0041197,45.0509545,5.536583195,,3,B
ME-EDA,7,-13.0697301,51.3416525,32.0147329,,0,A
mOHPHEA,8,-42.1383583,36.3815535,89.98034834,,2,C
ene_DA,9,-17.94964015,46.319071,38.61154195,,0,A
OH-RPHEDA,10,-19.91088865,48.555997,13.81136265,,3,B
DiME-EDA,11,-14.35444955,52.03741,33.0431457,,0,A
MPHEA,12,-39.490368,25.9268125,89.2310173,,2,C
RoDA,13,-15.7919375,46.964944,35.34694629,,0,A
13RCHDA,14,-40.42519285,42.6039885,60.3196699,,1,D
ET-EDA,15,-12.60586655,44.397205,30.9900047,,0,A
CPA,16,-36.34767565,32.2805225,93.63623249,,2,C
RCPDA,17,-7.81666085,49.46442,27.75072064,,0,A
ET-ME-EDA,18,-18.97355845,44.2895595,26.4042085,,0,A
2ME-ET-EDA,19,-15.36087045,41.1914695,34.771677,,0,A
pOHPHEA,20,-38.1239688,35.985103,67.82375385,,1,D
13RCHDA-ME,21,-41.56356515,39.01493,61.11103564,,1,D
Reth-Cl,22,-39.66912895,51.4834295,45.38564789,,1,D
Reh-Br,23,-41.0188184,44.5521095,47.05041515,,1,D
Reth-F,24,-39.8730057,50.7062815,45.46718079,,1,D
Butyl,25,-34.31481775,32.0652315,84.31746525,,2,C
Pentayl,26,-34.74935135,28.003583,83.95482139,,2,C
Hexyl,27,-35.7871047,27.0872835,85.9205911,,2,C
PEA-pCl,28,-44.3348605,32.6848495,100.5633072,,2,C
PEA-pBr,29,-46.13145455,33.3779815,102.6635826,,2,C
PEA-pF,30,-43.0547112,34.0028505,100.3271323,,2,C
RPHEDA-Cl,31,-24.320674,48.25669,4.109156697,,3,B
RPHEDA-Br,32,-24.94365175,48.330204,6.253865346,,3,B
RPHEDA-ME,33,-23.45164685,48.540244,4.540161444,,3,B
RPHEDA-F,34,-23.68942815,47.904873,3.897554742,,3,B
13RCHDA-Cl,35,-41.34317445,39.687058,60.5852815,,1,D
13RCHDA-Br,36,-41.41409855,40.233162,61.2206258,,1,D
13RCHDA-Buyl,37,-44.702386,45.2925005,67.0534722,,1,D
RCHDA-4-ME,38,-11.66174565,53.906766,26.18663465,,0,A
RCHDA-4-Butyl,39,-12.5531385,54.883452,26.3162142,,0,A
Butyl-EDA,40,-13.99961545,49.3200175,32.1920476,,0,A
